kind	term
move	离子震荡
move	种皮爆裂
move	移花接木
move	空间压迫
move	等价交换
move	筛管奔流
move	粒子对撞
move	精神扰乱
move	绵里藏针
move	羽化加速
move	羽翼庇护
move	联动装置
move	能量守恒
move	脉冲光线
move	腐蚀酸液
move	芳香诱引
move	草虫冲击
move	落井下毒
move	蓄势待发
move	蓄能轰击
move	虚假破产
move	虫群智慧
move	虫群过境
move	虹光冲击
move	见招拆招
move	触底强击
move	赤子之心
move	趁火打劫
move	超导加速
move	超新星馈赠
move	超级糖果
move	超维投射
move	轴承支撑
move	过载回路
move	远程访问
move	连续毒针
move	连续爪击
move	迫近攻击
move	逆向演化
move	酶浓度调整
move	金属噪音
move	针刺射击
move	钢铁洪流
move	锐利眼神
move	镜像反射
move	闪光冲击
move	闪击折返
move	防御反击
move	阳火增辉
move	隐藏条款
move	雾气环绕
move	顶端优势
move	高温回火
move	魔法增效
move	鸣沙陷阱
move	齿轮切开
move	齿轮扭矩
move	龙之利爪
move	龙息环爆
mechanism	愿力冲击
mechanism	愿力强化
mechanism	共鸣魔法
mechanism	血脉
mechanism	血脉技能
mechanism	聚能
mechanism	应对
mechanism	打断
mechanism	迸发
mechanism	蓄力
mechanism	入场
mechanism	离场
mechanism	换人
mechanism	替换上场
mechanism	主动离场
mechanism	蓄势印记
mechanism	光合印记
mechanism	星陨印记
mechanism	龙噬印记
mechanism	蓄电印记
mechanism	中毒印记
mechanism	降灵印记
mechanism	棘刺印记
mechanism	攻击印记
mechanism	湿润印记
mechanism	减速印记
mechanism	风起印记
mechanism	沙暴
mechanism	雨天
mechanism	雪天
mechanism	暴风雪
mechanism	润泽印记
mechanism	联防
mechanism	联防位
mechanism	轮换
mechanism	首发
mechanism	打手
mechanism	清线手
mechanism	强化手
mechanism	斩杀线
mechanism	主C
mechanism	副C
mechanism	C位
mechanism	配队
mechanism	阵容
mechanism	一图流
mechanism	意图流
mechanism	顶分
mechanism	登顶
mechanism	奉献
mechanism	虫群
mechanism	啃咬
mechanism	灼烧
mechanism	充分燃烧
mechanism	煤渣草
mechanism	架势
mechanism	嫉妒
mechanism	萌化
mechanism	脱离
mechanism	迅捷
mechanism	主动换人
mechanism	被击败替换
mechanism	强制离场
mechanism	速冻
mechanism	冥想
mechanism	不朽
mechanism	诈死
mechanism	御驾亲征
mechanism	壁垒
mechanism	报复
mechanism	水刃
mechanism	瞬间零度
mechanism	天火
mechanism	应对攻击
mechanism	应对状态
mechanism	应对防御
mechanism	改为
mechanism	速度
mechanism	先手
mechanism	冻结
mechanism	中毒
mechanism	寄生
mechanism	传动
mechanism	系别
mechanism	晴天
mechanism	沙咏
